Plate IFU PA_Ha PA_Ha_Error Ha_Vsyst PA_Stellar PA_Stellar_Error Stellar_Vsyst PA_drpall
9042 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 146.48500061035156
8439 6104 283.5 1.5 9.905890109865098 5.5 3.0 20.174116765802317 52.16299819946289
9502 9101 71.5 2.5 30.6772982047474 281.5 4.75 -1.2050682331098237 92.68689727783203
8943 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 21.239700317382812
8274 12705 320.0 0.5 110.11694842263717 188.0 4.25 100.83092325934032 156.19000244140625
9043 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 87.11009979248047
8727 3703 44.5 1.25 -180.104588717414 141.5 0.75 -195.47125603805165 132.8699951171875
8612 1901 18.5 1.5 -277.8350669067228 35.0 0.5 -319.5341935407105 146.5659942626953
9044 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 59.15879821777344
8482 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 118.46499633789062
8443 6101 225.5 3.25 46.94919552152874 65.0 8.25 27.76138290214858 60.93989944458008
8454 12705 120.0 14.0 -32.55202759381108 170.5 25.750000000000004 -42.73749479407845 88.74739837646484
8256 12705 321.5 0.5 110.65309492532182 331.5 1.25 102.47397152729374 156.19000244140625
8948 1901 359.5 3.999999999999998 100.79875772782458 22.0 2.75 57.74489975542161 20.30109977722168
8158 3701 293.5 4.0 39.16577026283216 288.0 1.5 32.50944115368708 109.99199676513672
7992 12702 278.5 7.25 3.5228598277961396 24.5 21.5 3.8861637115478516 19.058700561523438
7992 3701 220.5 4.0 0.0 336.5 14.75 -1.7077920489867413 157.322998046875
7992 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 18.096599578857422
8611 1902 224.0 3.25 12.052692307055276 225.5 6.5 12.757710546827894 46.183101654052734
7991 3704 164.0 3.0 22.42907397812698 161.5 3.75 15.925075664868046 162.41299438476562
7990 3701 277.0 4.75 14.679002678955143 276.0 9.25 18.520667582917312 91.21389770507812
8625 6103 182.5 4.250000000000006 39.265970603602966 231.0 19.0 17.94690736864552 177.5330047607422
8626 12701 26.0 6.5 53.04208755493164 86.0 4.0 62.56696974305163 107.89700317382812
7990 12705 92.5 1.75 -2.890209197998047 219.0 23.5 -8.129097318913704 108.99299621582031
9196 1901 335.5 4.5 28.123868875075384 110.5 4.0 10.902354825959755 109.4729995727539
8611 6101 182.0 2.749999999999998 18.047431980305237 58.0 5.75 15.600895579622794 56.950599670410156
9196 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 2.0418100357055664
8655 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 45.60940170288086
8153 9101 75.5 7.25 -19.096583795456468 88.5 27.75 -3.8103863845635058 86.0457992553711
8153 6104 47.5 3.5 14.171302153060708 41.0 7.0 3.361943987921075 56.29750061035156
8077 3701 271.0 5.5 6.190687312724819 264.0 2.75 5.822351077858933 64.6239013671875
8153 12703 359.5 37.25 1.215721907917274 322.5 41.25 1.724109665545388 154.03399658203125
8077 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 71.80860137939453
8077 6101 106.0 3.5 9.444849329585871 109.5 17.0 0.6986155146782833 60.27510070800781
8077 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 129.24200439453125
8154 6103 108.5 3.25 21.157226595287497 132.5 10.0 8.758214274562192 119.83799743652344
8154 3704 234.5 8.5 -5.76415221116557 278.0 4.75 -8.141399037085641 100.86499786376953
8081 12701 101.5 2.5 -10.996986389160163 87.5 5.25 3.7491609391792053 53.2317008972168
9194 3704 158.5 14.0 17.879013099539762 122.5 27.0 2.8010716006678575 67.96399688720703
9194 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 34.707000732421875
9193 1902 243.5 5.75 25.505547435889127 240.0 3.5 26.579434907750624 57.36109924316406
8082 1901 326.5 18.5 6.664690547338466 201.5 89.75 3.8364623348892506 163.0229949951172
8081 3702 346.0 89.75 6.871812259615888 262.5 89.75 3.9791427875549106 176.6439971923828
8083 3701 197.0 89.75 1.909503582107022 203.5 89.75 2.3400603904667623 122.0999984741211
8083 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 102.89399719238281
8084 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 14.451800346374512
8155 1901 84.5 29.75 12.669109757005996 268.0 25.5 7.156224557109226 85.95120239257812
8084 1902 236.5 21.75 6.64607048034668 311.5 26.25 0.07226560333537524 137.25999450683594
8135 6102 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 33.42729949951172
8137 1902 333.5 11.0 5.346912841878655 182.0 8.500000000000005 9.938805030679621 177.11900329589844
8137 6103 307.5 5.5 34.17885883627007 185.5 4.0 25.446894800745184 3.764470100402832
8137 3701 350.0 11.749999999999998 22.962828348307383 0.5 2.7500000000000027 13.342086486843584 178.21400451660156
8140 3702 317.0 5.75 10.05416263660966 118.5 5.5 12.993446726962006 108.31999969482422
8713 3703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 101.6969985961914
8143 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 52.857200622558594
8141 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 49.65549850463867
8143 6103 240.5 2.75 0.0 316.0 2.75 3.2128607294693126 108.83100128173828
8143 3703 160.5 48.75 6.093832161044887 124.5 14.75 1.932202039800318 133.46800231933594
8143 6104 24.5 1.75 11.954367267269049 25.0 5.75 -0.022375506920859323 20.395599365234375
8243 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 17.962499618530273
10001 6103 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 32.074501037597656
8721 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 127.27899932861328
8728 3701 156.5 2.75 -11.238228338041623 173.5 3.5 15.463764879816225 5.265379905700684
8158 12704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 13.01259994506836
8158 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 109.9530029296875
9512 3702 127.0 11.0 24.790345237517855 130.5 6.0 8.784570797504514 129.39500427246094
9512 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 28.389400482177734
9512 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 120.6050033569336
9512 6102 157.0 10.5 11.154191967479662 175.0 9.250000000000004 8.772418201556956 133.7550048828125
9512 12703 343.0 5.5 79.11271756193995 250.0 30.25 22.134120084151142 17.2007999420166
9512 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 35.74359893798828
10001 9102 87.0 19.5 -13.200396185899042 123.0 6.25 -15.431278149397478 115.74500274658203
9181 12701 334.0 4.0 63.47920143207324 33.5 37.25 3.6826702336159913 86.49829864501953
9181 12704 106.0 89.5 11.17489373627577 314.0 34.25 7.816900787044148 5.4864301681518555
9183 6104 141.0 6.75 -5.244053820266089 108.5 13.0 -2.8583396191127513 117.12999725341797
9182 3703 191.5 3.75 0.5694193672620713 169.5 4.5 -3.4410811216452117 169.4810028076172
8725 1902 106.0 3.25 -48.291674105788246 23.5 43.25 4.873489371960644 64.31649780273438
8725 6101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 169.25
8725 3704 234.5 32.75 6.848839284440167 230.0 32.5 2.5737172023147235 6.230820178985596
8725 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 135.79600524902344
8548 3701 224.5 7.5 31.731023766751868 246.5 11.75 16.701867349884907 78.1886978149414
8482 12704 99.0 1.75 -2.4372578424710127 219.5 15.25 36.29486020493045 87.28949737548828
8548 12705 138.5 17.5 1.989699204244829 157.5 7.5 13.546400011325407 143.64700317382812
8483 9101 117.5 18.75 17.92848146476902 273.0 5.75 12.896765955718166 86.94419860839844
9026 12701 4.0 5.500000000000002 34.087598475928985 9.0 1.75 20.17276239024396 8.462220191955566
8555 6104 321.5 7.5 13.4944818458725 39.0 9.0 5.033372613489073 36.124900817871094
8612 6101 161.5 3.5 33.273535018461075 164.0 2.5 28.7128223579801 163.59100341796875
8078 1902 259.5 7.75 11.366318983499596 253.0 9.25 9.847697661348732 106.45999908447266
8156 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 111.61299896240234
8618 6102 42.0 11.0 9.721597754001976 251.5 5.75 2.433557980485901 66.73030090332031
8618 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 149.7469940185547
8618 6104 310.5 2.5 3.964528231858722 307.0 5.25 8.316775296940541 132.1179962158203
7815 6102 95.0 10.0 -26.149834741107234 251.5 5.75 2.476934010621964 175.1790008544922
7977 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 9.928770065307617
7977 3701 242.0 6.25 -14.742750349269947 56.5 15.25 -10.41829155060018 59.060001373291016
8977 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 157.36900329589844
8717 6101 341.0 12.5 -7.624365855514192 337.5 7.25 -6.379759791990047 162.44900512695312
8717 12702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 43.641300201416016
9486 6103 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 84.22889709472656
8549 9101 294.5 6.0 54.17320866695332 43.0 21.5 1.9687334521022186 176.7830047607422
8549 3704 147.5 4.75 32.38243437469407 142.5 4.5 35.11682222563727 141.22000122070312
9029 9102 265.0 17.0 84.77029305629469 272.5 89.75 3.9869645323029212 130.19400024414062
8555 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 79.91549682617188
8555 3701 189.0 5.25 5.126933756515939 208.0 2.75 -16.355288878548293 15.10990047454834
8555 3702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 0.7929990291595459
8978 3704 123.0 9.5 -14.235248951227948 111.5 6.0 -17.659286648319984 126.90699768066406
9869 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 46.503700256347656
8613 3702 252.0 18.5 2.737250627048317 327.5 35.0 15.803589966327962 135.48300170898438
8606 3704 81.5 34.0 4.778522906888149 75.5 89.75 4.606712185311114 79.45390319824219
8247 3704 71.5 34.75 0.0 140.5 8.25 4.682348590369223 136.947998046875
8247 3703 21.0 6.25 13.014533563252163 8.5 3.0 16.392778609211785 6.033390045166016
8250 9102 51.0 1.75 0.8049790665196284 52.0 3.0 -13.121037322333692 53.168399810791016
8149 1901 296.0 8.75 12.895756824264176 293.5 32.25 9.177011876418026 123.79399871826172
8149 3702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 28.23579978942871
8938 1902 95.0 21.0 10.294953595116851 305.5 8.0 -0.3071618838961854 130.43299865722656
8938 9102 340.0 4.75 31.424100951307707 340.5 6.5 28.67231010476516 153.21099853515625
8948 3702 207.0 4.25 8.66100347745492 205.5 5.5 8.77410503062491 3.289180040359497
8999 3703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 141.51499938964844
8997 1902 2.5 3.0 9.938171928484952 348.0 2.75 17.8682736068219 164.0850067138672
8992 3701 235.0 6.75 18.276406011831625 268.0 5.75 3.212343467931664 76.12470245361328
8992 6102 292.0 5.75 31.99233337306215 313.0 2.25 4.812724163979226 133.13099670410156
8992 12705 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 159.17300415039062
8997 3703 317.0 25.0 -2.096816084596888 312.0 11.25 -12.373841453712588 153.8509979248047
8992 3704 167.5 5.25 5.415495484247938 357.0 6.5000000000000036 3.346728395924494 169.71499633789062
8991 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 158.57699584960938
8936 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 74.34290313720703
9184 3701 359.5 11.250000000000004 21.07362176921805 194.0 7.0 9.996563044261308 12.83810043334961
9184 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 140.8820037841797
8249 6103 9.5 8.25 19.79324563305508 14.5 22.750000000000007 12.522998202569823 62.503700256347656
8941 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 113.36699676513672
8940 3702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 60.59619903564453
8461 1902 94.0 36.0 8.849210240660298 81.0 18.75 10.650369236031967 85.4447021484375
8461 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 6.103030204772949
8456 1902 217.0 14.0 18.145776463600534 120.5 4.25 19.15360589212873 118.56800079345703
8456 6103 270.0 15.75 27.165967941284094 114.0 8.5 27.502139409123647 107.82499694824219
8454 9101 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 69.69560241699219
8453 3703 234.5 13.5 2.532678785369864 264.5 89.75 1.422707588482008 149.0070037841797
8993 3703 202.5 6.5 23.22443389892578 226.0 2.0 20.81904016357464 63.90879821777344
8999 9101 305.5 26.5 3.1757027209537303 1.0 8.749999999999998 5.7105957871083906 3.3805201053619385
8946 1901 222.0 9.25 8.046564824887898 278.0 6.0 12.905172596078415 103.58300018310547
8613 3701 122.0 18.75 46.794056704526454 230.0 30.5 9.179015655509785 156.9810028076172
8613 6102 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 56.76620101928711
9185 1901 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 151.7209930419922
7958 3703 280.5 3.75 4.035553708388235 281.0 3.25 5.5286547139573585 106.53600311279297
7960 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 169.0959930419922
7960 3701 121.0 21.75 18.111300379388496 145.0 9.75 6.472871463889276 136.1060028076172
7960 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 171.45799255371094
7962 3704 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 9.578949928283691
7962 1902 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 126.07099914550781
9085 3701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 74.95890045166016
9085 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 160.93699645996094
7962 9102 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 76.38870239257812
8623 3702 47.5 11.25 11.908235718318053 232.0 16.75 8.530642086666479 50.74259948730469
8623 6102 97.5 22.25 12.117654422050808 333.0 15.75 11.02287769568484 131.2239990234375
7964 3702 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 80.404296875
7964 1902 163.5 89.75 -4.353052758726585 262.0 89.75 4.210850998722312 141.36000061035156
7968 9102 220.5 7.0 16.265590562685134 247.5 10.25 8.573816708715897 84.8281021118164
8616 6101 168.0 5.25 22.99699663881026 166.0 4.5 19.442731143217713 165.86199951171875
8616 1902 175.5 5.0 8.815587317366187 139.5 2.75 5.8038442436937885 135.8820037841797
8616 12701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 155.07000732421875
7968 3703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 75.50199890136719
9000 12701 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 13.809499740600586
9000 3702 193.0 12.499999999999996 32.25012956365563 359.0 89.75 16.059948787539035 160.4340057373047
9000 6104 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 24.553600311279297
8995 3703 189.0 5.25 -3.03013385994457 352.5 44.75000000000001 -7.00874242133458 161.61500549316406
8995 12703 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 137.19700622558594
8309 6102 999999.0 999999.0 999999.0 999999.0 999999.0 999999.0 178.76800537109375
